iter	RMSE
0	11745.01703
1	11396.17047
2	11147.30306
3	10850.72826
4	10541.57576
5	10253.90217
6	10035.30067
7	9825.076694
8	9564.022718
9	9348.308371
10	9146.779967
11	8955.026814
12	8718.965449
13	8491.438203
14	8302.083316
15	8131.240148
16	7927.039051
17	7770.780873
18	7625.198244
19	7468.2007
20	7311.633714
21	7145.382581
22	7017.823586
23	6884.255081
24	6776.31717
25	6673.064001
26	6558.636507
27	6462.834318
28	6364.448061
29	6260.047038
30	6155.684038
31	6069.538132
32	5964.272909
33	5887.71351
34	5796.509352
35	5710.188953
36	5633.24101
37	5573.075202
38	5511.965668
39	5448.430152
40	5393.379878
41	5335.142241
42	5277.242718
43	5214.978062
44	5164.792298
45	5110.401968
46	5061.10442
47	5014.209127
48	4973.171129
49	4925.358929
50	4886.77212
51	4851.925544
52	4812.706421
53	4775.438783
54	4740.831109
55	4708.087648
56	4677.841197
57	4650.317521
58	4623.228519
59	4596.77537
60	4566.177859
61	4540.233178
62	4511.843738
63	4490.9242
64	4471.265326
65	4444.994664
66	4426.329011
67	4402.475151
68	4378.730766
69	4353.944543
70	4334.587318
71	4322.259572
72	4304.194733
73	4289.483122
74	4281.625928
75	4258.183251
76	4245.12741
77	4228.902863
78	4209.865733
79	4194.450929
80	4173.209724
81	4161.640571
82	4144.305884
83	4128.290838
84	4111.192482
85	4097.273048
86	4082.404595
87	4074.769298
88	4059.380317
89	4043.267761
90	4032.561953
91	4020.732076
92	4017.200763
93	4002.516147
94	3989.606697
95	3970.611691
96	3956.230506
97	3939.10948
98	3929.903535
99	3917.38751
100	3905.197167
101	3895.118204
102	3880.218873
103	3869.982138
104	3858.712331
105	3848.033426
106	3839.39809
107	3825.161679
108	3823.476075
109	3814.503028
110	3800.82342
111	3793.434289
112	3788.651149
113	3786.589943
114	3775.333505
115	3764.851087
116	3756.328131
117	3742.298568
118	3732.319515
119	3721.719084
120	3711.551332
121	3700.726152
122	3691.076661
123	3685.148399
124	3670.470592
125	3658.672227
126	3647.189445
127	3635.152295
128	3628.362866
129	3618.675859
130	3609.47811
131	3597.135217
132	3586.598548
133	3579.534124
134	3577.183435
135	3567.029576
136	3566.117136
137	3563.170923
138	3554.88711
139	3546.184251
140	3538.060358
141	3531.193198
142	3526.534728
143	3515.6096
144	3507.858165
145	3495.929858
146	3486.790434
147	3478.162837
148	3467.064207
149	3460.040719
150	3458.846205
151	3451.916822
152	3445.328034
153	3440.679161
154	3432.502166
155	3425.717352
156	3415.60988
157	3406.197064
158	3397.453307
159	3391.553282
160	3384.840817
161	3375.417721
162	3367.736507
163	3364.19212
164	3356.45943
165	3347.95559
166	3345.42617
167	3339.562618
168	3333.311724
169	3328.294248
170	3319.835771
171	3309.809601
172	3302.146473
173	3298.749679
174	3290.372761
175	3284.364225
176	3278.38093
177	3274.111236
178	3267.568893
179	3257.185573
180	3251.874628
181	3241.32293
182	3235.157776
183	3231.193079
184	3223.846084
185	3216.89043
186	3210.363711
187	3207.029314
188	3204.204259
189	3196.404018
190	3187.01708
191	3178.090089
192	3173.025999
193	3166.703384
194	3156.23141
195	3150.742453
196	3147.118563
197	3143.802766
198	3135.548389
199	3127.267767
200	3119.232454
201	3116.113963
202	3109.542012
203	3104.326125
204	3099.941262
205	3093.307111
206	3090.085131
207	3087.093466
208	3080.193616
209	3075.054588
210	3067.854565
211	3062.993856
212	3058.497273
213	3055.389555
214	3048.890895
215	3044.137756
216	3037.226775
217	3034.141624
218	3031.580943
219	3028.263632
220	3025.693431
221	3022.753609
222	3020.00343
223	3016.957072
224	3015.46228
225	3009.883306
226	3005.079533
227	3002.799427
228	3001.579728
