iter	Passed	Remaining
0	1	1062
1	1	895
2	8	2952
3	12	3226
4	16	3244
5	17	2840
6	23	3370
7	29	3614
8	30	3367
9	34	3408
10	37	3415
11	42	3515
12	43	3285
13	43	3067
14	47	3115
15	51	3139
16	51	2970
17	55	3047
18	57	2982
19	59	2925
20	60	2803
21	60	2687
22	65	2768
23	68	2792
24	72	2826
25	72	2720
26	72	2630
27	74	2570
28	77	2611
29	79	2580
30	80	2510
31	83	2525
32	83	2454
33	87	2498
34	89	2454
35	89	2393
36	92	2409
37	95	2427
38	97	2402
39	98	2355
40	101	2369
41	104	2375
42	107	2381
43	107	2338
44	109	2318
45	109	2279
46	113	2304
47	114	2265
48	117	2273
49	117	2238
50	118	2198
51	120	2205
52	124	2215
53	124	2178
54	124	2141
55	127	2148
56	127	2111
57	129	2098
58	132	2107
59	132	2077
60	134	2066
61	134	2040
62	137	2048
63	138	2019
64	141	2040
65	144	2048
66	147	2059
67	150	2065
68	153	2076
69	156	2081
70	159	2087
71	159	2062
72	163	2070
73	163	2043
74	163	2015
75	166	2020
76	166	1999
77	169	2004
78	172	2010
79	175	2019
80	178	2024
81	181	2030
82	184	2035
83	187	2040
84	189	2044
85	192	2048
86	195	2052
87	196	2031
88	198	2035
89	201	2040
90	204	2046
91	208	2054
92	208	2032
93	211	2038
94	214	2043
95	218	2056
96	221	2059
97	224	2066
98	227	2072
99	231	2080
100	234	2083
101	235	2075
102	238	2078
103	241	2081
104	244	2083
105	247	2085
106	250	2087
107	253	2089
108	253	2069
109	256	2071
110	258	2074
111	261	2075
112	262	2058
113	262	2040
114	265	2041
115	268	2043
116	270	2044
117	273	2046
118	276	2048
119	279	2050
120	282	2052
121	285	2052
122	287	2053
123	290	2054
124	293	2057
125	296	2058
126	299	2059
127	302	2061
128	305	2064
129	308	2065
130	311	2065
131	314	2066
132	317	2067
133	319	2067
134	320	2054
135	323	2054
136	323	2038
137	324	2024
138	327	2025
139	329	2026
140	333	2031
141	336	2031
142	339	2032
143	342	2033
144	344	2034
145	347	2034
146	350	2034
147	353	2034
148	356	2035
149	359	2035
150	359	2021
151	362	2021
152	365	2021
153	367	2021
154	370	2021
155	373	2021
156	376	2021
157	379	2020
158	382	2020
159	384	2020
160	387	2020
161	390	2020
162	393	2020
163	393	2007
164	396	2007
165	399	2007
166	400	1996
167	402	1995
168	405	1995
169	408	1995
170	411	1995
171	414	1994
172	417	1994
173	417	1982
174	420	1982
175	423	1981
176	426	1981
177	429	1981
178	431	1981
179	434	1980
180	437	1980
181	440	1979
182	443	1979
183	446	1979
184	449	1978
185	451	1977
186	454	1977
187	457	1976
188	461	1978
189	463	1978
190	466	1977
191	469	1977
192	472	1976
193	475	1975
194	478	1974
195	481	1974
196	484	1973
197	486	1972
198	489	1971
199	492	1971
200	495	1970
201	497	1963
202	499	1962
203	503	1963
204	506	1962
205	508	1961
206	511	1960
207	514	1959
208	518	1962
209	521	1961
210	524	1959
211	527	1958
212	530	1958
213	533	1958
214	536	1957
215	539	1957
216	542	1956
217	544	1954
218	548	1954
219	551	1954
220	553	1952
221	556	1951
222	559	1950
223	562	1950
224	565	1948
225	568	1948
226	571	1947
227	574	1945
228	577	1944
229	580	1944
230	583	1942
231	586	1941
232	589	1940
233	592	1939
234	595	1938
235	598	1936
236	601	1935
237	604	1934
238	606	1932
239	609	1931
240	612	1930
241	615	1928
242	618	1927
243	621	1926
244	624	1924
245	627	1923
246	630	1922
247	633	1921
248	636	1919
249	639	1918
250	642	1916
251	645	1915
252	648	1913
253	651	1912
254	654	1910
255	656	1909
256	660	1908
257	662	1906
258	665	1904
259	668	1903
260	671	1901
261	674	1900
262	677	1898
263	680	1897
264	683	1895
265	686	1893
266	689	1892
267	692	1891
268	695	1889
269	698	1887
270	701	1886
271	704	1884
272	706	1882
273	709	1881
274	712	1879
275	715	1877
276	718	1876
277	721	1874
278	724	1873
279	727	1871
280	730	1869
281	733	1867
282	736	1866
283	739	1864
284	742	1862
285	745	1861
286	748	1859
287	751	1857
288	754	1855
289	756	1853
290	759	1851
291	762	1849
292	765	1847
293	768	1845
294	771	1843
295	774	1841
296	776	1839
297	779	1836
298	782	1834
299	785	1832
300	788	1830
301	791	1828
302	793	1826
303	796	1824
304	799	1822
305	802	1820
306	805	1817
307	808	1816
308	811	1814
309	814	1811
310	816	1809
311	819	1807
312	822	1805
313	825	1803
314	828	1801
315	831	1799
316	834	1797
317	836	1794
318	839	1792
319	842	1790
320	845	1788
321	848	1786
322	851	1783
323	853	1781
324	856	1779
325	859	1777
326	862	1775
327	865	1772
328	868	1770
329	871	1768
330	873	1766
331	876	1764
332	879	1762
333	882	1760
334	885	1757
335	888	1755
336	891	1753
337	893	1750
338	896	1748
339	899	1746
340	902	1744
341	905	1741
342	908	1739
343	912	1739
344	915	1737
345	917	1735
346	920	1732
347	923	1730
348	926	1728
349	929	1725
350	932	1723
351	934	1721
352	937	1718
353	940	1716
354	943	1714
355	946	1712
356	948	1707
357	950	1705
358	953	1702
359	956	1700
360	959	1698
361	962	1695
362	965	1693
363	968	1691
364	971	1689
365	974	1687
366	977	1685
367	980	1683
368	983	1681
369	985	1678
370	988	1676
371	991	1674
372	994	1671
373	997	1669
374	1000	1666
375	1003	1664
376	1006	1663
377	1009	1661
378	1012	1659
379	1015	1656
380	1018	1654
381	1021	1652
382	1024	1649
383	1026	1647
384	1029	1644
385	1032	1642
386	1035	1640
387	1038	1637
388	1041	1635
389	1044	1633
390	1046	1630
391	1049	1628
392	1052	1625
393	1055	1623
394	1058	1620
395	1061	1618
396	1063	1616
397	1066	1613
398	1069	1611
399	1072	1608
400	1075	1606
401	1078	1603
402	1081	1601
403	1083	1599
404	1086	1596
405	1089	1594
406	1092	1591
407	1095	1589
408	1098	1587
409	1101	1584
410	1103	1582
411	1106	1579
412	1109	1577
413	1112	1574
414	1115	1572
415	1118	1570
416	1124	1571
417	1127	1570
418	1131	1568
419	1134	1566
420	1137	1564
421	1140	1562
422	1143	1560
423	1146	1557
424	1149	1555
425	1152	1552
426	1155	1550
427	1158	1547
428	1160	1545
429	1163	1542
430	1166	1540
431	1169	1537
432	1172	1534
433	1175	1532
434	1177	1529
435	1180	1527
436	1183	1524
437	1186	1522
438	1189	1519
439	1191	1517
440	1194	1514
441	1197	1511
442	1200	1509
443	1203	1506
444	1206	1504
445	1208	1501
446	1211	1499
447	1214	1496
448	1217	1494
449	1220	1491
450	1223	1489
451	1226	1486
452	1228	1484
453	1231	1481
454	1234	1478
455	1237	1476
456	1240	1473
457	1243	1471
458	1245	1468
459	1248	1465
460	1251	1463
461	1254	1460
462	1257	1458
463	1259	1455
464	1262	1452
465	1265	1450
466	1268	1447
467	1271	1445
468	1273	1442
469	1274	1436
470	1277	1434
471	1279	1431
472	1282	1429
473	1285	1426
